Name	TMPQ	KLVF	CPJM	XGUX
DNGE	91	2	0	7
UWPD	30	35	5	30
LCQW	71	21	5	3
DNNT	48	51	0	1
BVTT	18	50	30	2
ZZCV	43	25	26	6
UVHN	68	30	0	2
GWBN	7	15	2	76
ATLL	33	45	16	6
AWJD	89	2	4	5
COAH	29	65	2	4
RFFU	2	18	62	18
ZRFD	45	50	4	1
GQJC	75	1	17	7
ZXKU	75	17	1	7
HAGU	23	52	8	17
NFQI	49	49	0	2
EEZL	28	36	30	6
XREO	86	8	4	2
HVAG	49	32	13	6
RZIF	23	49	20	8
LTUG	8	63	23	6
TKJM	18	23	21	38
JCGJ	6	56	9	29
JQBA	32	23	21	24
FRFB	87	1	5	7
XKHU	92	7	0	1
KQUI	35	21	14	30
WCWE	3	48	2	47
DSGT	34	21	25	20
TDKI	17	73	4	6
RYPD	68	22	9	1
ZGRZ	1	15	26	58
OJXV	60	17	17	6
RAAO	59	39	1	1
MJAE	44	48	1	7
EGAJ	79	1	2	18
LOUI	16	20	12	52
UNMO	45	37	0	18
XOOC	73	7	10	10
XRUO	28	8	24	40
CWMV	34	41	5	20
LFGL	72	13	10	5
VNPZ	18	15	16	51
RLGB	79	13	4	4
XAUW	12	71	11	6
RZTC	5	76	8	11
JIRA	82	14	0	4
DEOC	93	0	2	5
KGTO	99	0	0	1
FMOP	65	0	6	29
OWWD	38	49	4	9
DPBZ	83	8	6	3
VFUF	66	9	6	19
TZOB	14	76	1	9
WDKE	80	17	1	2
IRZO	35	4	17	44
QSPE	13	71	6	10
GTKZ	70	27	2	1
WIBG	90	1	2	7
MQUA	63	6	15	16
NVQI	21	76	0	3
HZXA	6	70	14	10
JAEC	94	4	0	2
JXIL	89	0	1	10
CUDN	64	32	2	2
YTRM	95	3	1	1
IEFV	43	37	2	18
QQYR	39	1	9	51
XIWI	93	6	0	1
FUNK	84	13	1	2
GNPZ	5	82	0	13
SCPL	37	4	26	33
DFVG	87	7	0	6
KUEA	80	7	1	12
KSKP	77	16	2	5
DISI	15	11	14	60
GGWO	84	11	0	5
PSEZ	29	26	37	8
SLZG	47	47	2	4
JEWP	36	4	1	59
WCXS	44	46	1	9
NIMY	66	2	25	7
AGPM	32	38	12	18
XTCR	23	65	10	2
CZYM	66	0	24	10
PGGW	54	29	2	15
DMHV	81	10	3	6
YHDA	50	30	19	1
JVAF	98	0	0	2
INMZ	5	8	37	50
AIQU	91	2	5	2
GUWK	32	35	4	29
