Name	HUCZ	CBTG	FGWY	KPAQ	OEPG	QAJI
DYEL	77	2	6	11	3	1
LDHC	42	10	46	1	0	1
LIAX	35	34	28	1	0	2
LEHH	27	28	34	9	0	2
WILC	96	0	0	3	0	1
SNDZ	61	25	5	5	0	4
IGPQ	50	16	30	3	0	1
NEWX	32	38	0	2	7	21
UIJX	77	9	0	2	10	2
BMOQ	92	5	1	0	1	1
OFVD	20	10	39	19	9	3
PVFO	97	1	0	1	0	1
SKLE	58	12	12	15	1	2
ZWGE	55	39	5	0	0	1
MRDF	34	10	33	11	4	8
SNMA	26	27	22	15	0	10
EKQN	68	11	15	3	2	1
OKGI	62	20	12	5	0	1
CMCH	59	4	34	2	0	1
WYPW	68	30	1	0	0	1
FZAU	46	41	5	0	0	8
CJXZ	35	23	21	8	1	12
YWUO	57	41	0	1	0	1
DRTI	47	44	4	2	2	1
WHAH	89	6	0	4	0	1
LXPG	36	17	38	8	0	1
GRKB	73	15	1	3	2	6
IUXB	49	45	2	2	0	2
CQZG	49	38	7	3	2	1
AWIM	51	28	19	0	1	1
NVOL	15	52	6	19	0	8
MKKS	83	12	0	3	0	2
YAEQ	45	8	27	2	7	11
AVHI	13	24	6	50	5	2
NQMJ	3	74	16	0	1	6
PIBP	30	56	4	9	0	1
QXJK	87	0	2	1	8	2
TEGD	60	37	2	0	0	1
UPZK	92	2	5	0	0	1
JLOM	99	0	0	0	0	1
MDTM	13	74	11	1	0	1
YLSC	73	18	6	1	0	2
EFZA	46	47	1	5	0	1
IHEB	3	12	81	1	1	2
HHMD	52	46	0	0	1	1
DGRW	73	12	12	2	0	1
AMRX	28	19	5	25	15	8
VWKO	15	29	8	20	6	22
WBSA	65	15	6	1	7	6
BMOS	22	9	60	8	0	1
WKAF	2	96	0	1	0	1
DOCI	71	8	4	16	0	1
OAVF	57	8	22	0	0	13
DCQH	69	6	10	4	0	11
FQAS	72	2	7	3	8	8
NSTG	49	11	10	9	19	2
CRVV	56	42	1	0	0	1
NVWX	91	3	1	4	0	1
VVHS	90	3	4	0	1	2
IWQK	3	35	17	14	19	12
EKCB	80	11	5	3	0	1
RQUI	97	1	1	0	0	1
RKTL	13	36	31	11	2	7
VCUM	61	23	12	0	2	2
GUAS	6	11	3	0	41	39
OAXC	52	29	16	1	1	1
XTHR	42	13	12	27	4	2
OEAF	54	40	5	0	0	1
MYIQ	41	7	47	0	2	3
KSOE	62	37	0	0	0	1
HPJU	44	13	18	12	10	3
MILA	15	77	7	0	0	1
OGIE	75	8	10	6	0	1
CJOA	51	32	9	5	0	3
HRNC	19	73	2	2	2	2
DJOR	21	17	20	4	23	15
ACWA	15	48	5	10	3	19
GMVU	46	25	26	2	0	1
EMBK	84	5	6	2	1	2
NLDI	68	12	0	10	5	5
DHNY	95	4	0	0	0	1
XIXC	74	13	6	1	3	3
OPGN	40	38	1	13	6	2
AXUL	75	23	1	0	0	1
FGNE	65	27	3	3	0	2
PKSP	85	7	6	0	1	1
