Name	YKVQ	DEXE	ERWN
DJQM	41	29	30
CSZS	10	54	36
UOVU	80	19	1
ALGF	20	70	10
JCAY	37	50	13
WASS	21	37	42
VMLH	53	12	35
CGHF	85	8	7
JCKF	64	15	21
GYDU	12	30	58
MEIE	82	1	17
XCII	97	0	3
NTXZ	12	85	3
PEFM	58	11	31
KQJG	44	16	40
IBJC	83	6	11
YXKF	29	55	16
FADB	71	26	3
NHUE	19	77	4
DAOB	76	4	20
TQQB	1	90	9
ZKXN	5	19	76
OJWL	24	43	33
DIYL	73	4	23
MDWK	97	2	1
UWEF	45	35	20
DEZF	10	27	63
AZFP	61	31	8
CRTZ	91	3	6
GHXM	57	37	6
BOLC	73	5	22
BIYF	29	5	66
PYGQ	44	41	15
YWNB	31	20	49
BUYT	98	0	2
SRPD	16	45	39
WYGA	55	12	33
XWJR	41	58	1
EQVE	53	32	15
IZGD	1	92	7
GIJT	49	31	20
MMTS	76	12	12
MXIG	17	37	46
YJKY	54	16	30
IODX	77	4	19
HTXI	79	4	17
YDJT	21	74	5
FMWI	70	19	11
JCVU	21	50	29
OHUZ	44	52	4
LORP	39	1	60
PDCC	33	3	64
CEEL	73	1	26
NZVN	52	33	15
JNNG	79	10	11
MYRL	31	43	26
GQCV	71	16	13
NHTT	71	1	28
MCOS	48	23	29
CYBZ	21	70	9
NIJP	62	15	23
JRVN	19	7	74
ZRHH	99	0	1
YPUM	79	14	7
YTLF	32	25	43
PGLF	32	25	43
FYRJ	39	3	58
FYXM	73	21	6
EVYU	4	58	38
CAOQ	65	30	5
YDIM	93	6	1
RUJX	7	5	88
PPFT	25	63	12
UMAQ	6	47	47
LUFV	10	25	65
VOHU	39	14	47
STAZ	81	18	1
LGTW	22	34	44
KJUS	84	2	14
VICV	4	14	82
SVRB	9	47	44
UUFZ	1	51	48
VVRB	19	66	15
TOOT	41	44	15
NCSC	95	0	5
EXSW	25	73	2
HJDF	9	39	52
GLIG	87	0	13
NUDG	5	47	48
PYKX	57	42	1
VRVC	79	2	19
VZPR	75	20	5
ROLD	52	46	2
KGGS	59	7	34
ZXVE	27	22	51
OJUE	40	24	36
PDQF	43	51	6
KVAH	57	21	22
BLLL	51	16	33
TDCR	14	76	10
HQRH	13	33	54
ANDB	52	18	30
IEUI	27	57	16
DRII	14	71	15
WCWM	40	17	43
HYZT	94	4	2
FDRQ	28	3	69
JZYA	12	29	59
NLVI	50	23	27
OYMW	40	1	59
NODV	74	14	12
KOGZ	10	12	78
CNJH	96	0	4
XVZN	93	6	1
LZLN	20	0	80
IJTQ	12	65	23
YNGJ	63	20	17
COIS	20	0	80
CHZJ	95	2	3
BZPD	39	45	16
DWJF	67	24	9
KLJQ	35	28	37
XOFL	44	22	34
RTUL	43	52	5
AZKE	60	6	34
DUDN	21	60	19
FWWO	31	51	18
QLXO	46	21	33
JQNF	49	33	18
YSLL	20	57	23
JFWF	48	29	23
HKIL	23	44	33
NCKB	80	19	1
AMNZ	82	17	1
QYHM	54	23	23
ITRD	22	7	71
XKZJ	24	5	71
BXKY	68	13	19
GXXL	42	42	16
FJKW	60	21	19
HVVV	11	42	47
XJWI	13	35	52
ARGL	94	5	1
PRGW	22	48	30
QWIY	93	6	1
SBUK	7	37	56
GGUX	4	29	67
OXUM	44	42	14
MUKM	26	70	4
HKPF	20	19	61
DZLZ	61	3	36
PPPV	18	58	24
DRPY	33	21	46
VDLO	45	8	47
LGUW	12	59	29
UAAO	77	1	22
WOHR	87	11	2
ERPS	35	37	28
IIBH	37	3	60
VONH	53	17	30
ITMX	2	16	82
ROXN	9	71	20
AEHO	38	48	14
OTWF	50	39	11
QNQZ	74	5	21
OOAX	36	6	58
KHQL	2	78	20
RUGH	27	15	58
UGET	74	20	6
MDGR	27	37	36
NSVS	98	1	1
TCUE	18	9	73
EDTC	53	33	14
NJGL	19	40	41
AVVG	42	13	45
WSZC	90	3	7
ZYVS	50	8	42
KPBB	57	26	17
AKPO	14	79	7
HCNI	68	5	27
SNRO	31	32	37
CBFK	9	52	39
XVWB	1	57	42
LYGE	21	1	78
QIOB	83	13	4
VRHQ	1	98	1
NWHP	96	2	2
KQIA	64	12	24
BFCY	88	8	4
YNHQ	90	0	10
XBFK	60	16	24
HGUW	55	7	38
HVZS	78	12	10
SQRF	99	0	1
SWUN	71	14	15
RWYH	67	30	3
IZAX	71	11	18
OFRX	65	1	34
TFTS	94	1	5
IRBP	68	23	9
